,Type,Colour,Brand,Img name
0,Cardigan,Grey,Boden,HD_200028434_01.jpg
1,Coat,Pink,Unknown,HD_200022754_01.jpg
4,Jacket,Grey,Unknown,HD_200027000_01.jpg
8,Full length dress,White,Unknown,HD_200026637_01.jpg
10,Top,Red,Gap,HD_200026539_01.jpg
11,Jacket,Brown,Unknown,HD_200026403_01.jpg
15,Jacket,Pink,Barbour,HD_200025532_01.jpg
20,Jacket,White,Next,HD_101887084_01.jpg
32,Coat,Grey,Unknown,HD_200022982_01.jpg
34,Long dress,White,Unknown,HD_200019358_01.jpg
36,Calf length dress,Pink,Unknown,HD_200019380_01.jpg
37,Sleeveless,Pink,Unknown,HD_200019561_01.jpg
39,Jacket,Black,Unknown,HD_200021719_01.jpg
46,Jacket,Blue,Barbour,HD_200016887_01.jpg
48,Jeans,Metallics,Unknown,HD_200020285_01.jpg
57,Dress,Cream,Ted Baker,HD_101884132_01.jpg
63,Jeans,Blue,Levi's,HD_101881289_01.jpg
77,Cardigan,Purple,Lands' End,HD_200018993_01.jpg
78,Sleeveless,Beige,Monsoon,HD_200018778_01.jpg
83,Long sleeved shirt,Blue,Laura Ashley,HD_101882177_01.jpg
85,Coat,Green,River Island,HD_200017862_01.jpg
86,Coat,Grey,Unknown,HD_200017963_01.jpg
88,Jacket,Black,Barbour,HD_101879730_01.jpg
91,Gilet,Cream,River Island,HD_101874761_01.jpg
100,Jacket,Blue,New Look,HD_200015945_01.jpg
104,Jeans,Purple,River Island,HD_200015609_01.jpg
105,Knee length dress,Cream,Unknown,HD_200015516_01.jpg
106,Full length dress,Purple,Unknown,HD_200014318_01.jpg
110,Jumper,Blue,Unknown,HD_200015280_01.jpg
111,Dress,White,Monsoon,HD_200015135_01.jpg
112,Dress,Pink,Unknown,HD_200015133_01.jpg
116,Sleeveless top,Orange,Ralph Lauren,HD_101876936_01.jpg
125,Coat,Cream,Unknown,HD_101875623_01.jpg
127,Jeans,Red,Gap,HD_101874399_01.jpg
128,Evening dress,Blue,Unknown,HD_200013643_01.jpg
131,Gilet,Pink,Barbour,HD_200013392_01.jpg
136,Knee length dress,Yellow,Unknown,HD_101870604_01.jpg
142,Full length dress,Cream,BHS,HD_200012480_01.jpg
144,Long sleeved shirt,White,Unknown,HD_101866702_01.jpg
149,Sleeveless,Pink,Next,HD_101866019_01.jpg
151,Jacket,Red,Next,HD_200012234_01.jpg
153,Trousers,Grey,Ted Baker,HD_101866356_01.jpg
155,Jacket,Blue,Unknown,HD_101864988_01.jpg
156,T-Shirt,Grey,Guess,HD_101863243_01.jpg
157,Jeans,Blue,Levi's,HD_101864855_01.jpg
159,Raincoat,Red,Unknown,HD_101864737_01.jpg
161,Long sleeved shirt,Blue,Diesel,HD_101864648_01.jpg
166,Jacket,Blue,Unknown,HD_101859733_01.jpg
170,Smock top,Orange,Unknown,HD_101857286_01.jpg
171,Evening dress,Black,Unknown,HD_101857128_01.jpg
172,Polo shirt,Pink,Ralph Lauren,HD_101849988_01.jpg
173,Evening dress,Blue,John Lewis,HD_101849903_01.jpg
180,Sleeveless,Blue,Unknown,HD_101852556_01.jpg
181,Jacket,Blue,Unknown,HD_101852076_01.jpg
182,Calf length dress,Pink,Unknown,HD_200006133_01.jpg
183,Calf length dress,Purple,Unknown,HD_200006135_01.jpg
189,Sweater,Grey,Next,HD_101846852_01.jpg
190,Sweater,Grey,Unknown,HD_101846945_01.jpg
201,Sleeveless,Blue,Ralph Lauren,HD_101843107_01.jpg
