,Type,Colour,Brand,Img name
0,Long dress,Cream,Unknown,HD_100337355_01.jpg
1,Mini skirt,White,Unknown,HD_100403601_01.jpg
2,Trousers,Green,Unknown,HD_100424462_01.jpg
3,Jacket,Green,Unknown,HD_100443530_01.jpg
4,Jacket,Beige,Unknown,HD_100452597_01.jpg
5,Jacket,Grey,Unknown,HD_100453860_01.jpg
6,Strapless dress,Black,ASOS,HD_100453881_01.jpg
7,Smart jacket / coat,Brown,Unknown,HD_100462918_01.jpg
8,Smart jacket / coat,Red,Unknown,HD_100463822_01.jpg
9,Casual jacket / coat,Purple,Unknown,HD_100497065_01.jpg
10,Casual jacket / coat,Beige,Unknown,HD_100506878_01.jpg
11,Mini dress,Black,Unknown,HD_100506981_01.jpg
12,Jacket,Grey,Unknown,HD_100507752_01.jpg
13,Jacket,Black,Next,HD_100515248_01.jpg
14,Full length dress,Black,Unknown,HD_100519241_01.jpg
15,Sleeveless top,Pink,Next,HD_100537597_01.jpg
16,Mini dress,Purple,Oasis,HD_100541079_01.jpg
17,Jacket,Grey,Unknown,HD_100544009_01.jpg
18,Trousers,Brown,Lakeland,HD_100552383_01.jpg
19,T-Shirt,Black,Unknown,HD_100570399_01.jpg
20,Casual jacket / coat,Cream,St Michael,HD_100573773_01.jpg
21,Jacket,Grey,Autograph,HD_100573857_01.jpg
22,Trousers,Grey,Unknown,HD_100575150_01.jpg
23,Smart jacket / coat,Blue,Unknown,HD_100575643_01.jpg
24,Casual jacket / coat,Beige,Unknown,HD_100577697_01.jpg
25,Jacket,Grey,Unknown,HD_100585054_01.jpg
26,Mini dress,Grey,Watters & Watters,HD_100586817_01.jpg
27,Trousers,Beige,Principles,HD_100587012_01.jpg
28,Trousers,Black,Fenn Wright Manson,HD_100588242_01.jpg
29,Blazer,Blue,River Island,HD_100598919_01.jpg
30,Cropped trousers,Blue,F&F,HD_100599237_01.jpg
31,Jacket,Black,Unknown,HD_100606060_01.jpg
32,Blouse,Brown,Gap,HD_100607633_01.jpg
33,Smart jacket / coat,Black,George,HD_100613307_01.jpg
34,Jacket,Grey,Unknown,HD_100621638_01.jpg
35,Short,Black,Jane Norman,HD_100622015_01.jpg
36,Short,Black,Unknown,HD_100622055_01.jpg
37,Jacket,Black,Atmosphere,HD_100624960_01.jpg
38,Jacket,Blue,Unknown,HD_100630832_01.jpg
39,Trousers,Cream,Dorothy Perkins,HD_100640519_01.jpg
40,Knee length dress,Black,Unknown,HD_100644377_01.jpg
41,Knee length dress,Black,New Look,HD_100644821_01.jpg
42,Mini dress,White,Unknown,HD_100648064_01.jpg
43,Jumpsuit,White,River Island,HD_100648142_01.jpg
44,Trousers,Beige,Calvin Klein,HD_100648800_01.jpg
45,Calf length skirt,Blue,Unknown,HD_100652297_01.jpg
46,Smart jacket / coat,Grey,River Island,HD_100653158_01.jpg
47,Sleeveless top,Grey,Unknown,HD_100656262_01.jpg
48,Mini dress,Black,Unknown,HD_100656306_01.jpg
49,Knee length dress,Black,River Island,HD_100660273_01.jpg
50,Mini dress,Black,Unknown,HD_100660286_01.jpg
51,Evening dress,Grey,Miss Selfridge,HD_100660306_01.jpg
52,Jeans,Blue,Unknown,HD_100660347_01.jpg
53,Skirt,Black,Unknown,HD_100663637_01.jpg
54,Knee length dress,Black,Debut,HD_100665027_01.jpg
55,Strapless dress,Black,Unknown,HD_100669697_01.jpg
56,Strapless dress,Black,Topshop,HD_100677830_01.jpg
57,Casual jacket / coat,Brown,Unknown,HD_100679584_01.jpg
58,Jeans,Blue,Unknown,HD_100683836_01.jpg
59,Sleeveless top,Pink,Unknown,HD_100684486_01.jpg
60,Pencil skirt,Black,Mango,HD_100687261_01.jpg
61,Sleeveless,Brown,Unknown,HD_100688324_01.jpg
62,Sleeveless,Black,Unknown,HD_100690896_01.jpg
63,T-Shirt,Black,Windsmoor,HD_100691036_01.jpg
64,Trousers,White,Unknown,HD_100691059_01.jpg
65,Smart jacket / coat,Grey,Unknown,HD_100692265_01.jpg
66,Casual jacket / coat,Pink,Unknown,HD_100694834_01.jpg
67,Trousers,Purple,Principles,HD_100697332_01.jpg
68,Jeans,White,Karen Millen,HD_100703282_01.jpg
69,Smart jacket / coat,Black,Unknown,HD_100704660_01.jpg
70,Jacket,Black,Unknown,HD_100704751_01.jpg
71,Blouse,Black,Unknown,HD_100708619_01.jpg
72,Mini dress,Red,Unknown,HD_100713627_01.jpg
73,Smart jacket / coat,Black,Unknown,HD_100726840_01.jpg
74,Jacket,Grey,Austin Reed,HD_100726912_01.jpg
75,Short,Black,Oasis,HD_100732964_01.jpg
76,Trousers,Black,Next,HD_100740594_01.jpg
77,Jacket,Grey,Unknown,HD_100743291_01.jpg
78,Strapless dress,Metallics,Great Plains,HD_100745134_01.jpg
79,Casual jacket / coat,Brown,Unknown,HD_100749104_01.jpg
80,Jacket,Grey,Planet,HD_100766734_01.jpg
81,Sleeveless top,Brown,Unknown,HD_100770014_01.jpg
82,Knee length dress,Red,Unknown,HD_100778479_01.jpg
83,Casual jacket / coat,Purple,Unknown,HD_100784546_01.jpg
84,Mini dress,Purple,Unknown,HD_100786337_01.jpg
85,Mini dress,Purple,Unknown,HD_100786356_01.jpg
86,Jacket,Grey,Next,HD_100790842_01.jpg
87,Mini dress,Black,Miss Selfridge,HD_100792996_01.jpg
88,Jacket,Brown,Jaeger,HD_100793416_01.jpg
89,Sleeveless,Grey,Great Plains,HD_100794496_01.jpg
90,T-Shirt,White,Unknown,HD_100797202_01.jpg
