Type,Colour,Brand,Img name
Long dress,Cream,Unknown,HD_100337355_01.jpg
Mini skirt,White,Unknown,HD_100403601_01.jpg
Trousers,Green,Unknown,HD_100424462_01.jpg
Jacket,Green,Unknown,HD_100443530_01.jpg
Jacket,Beige,Unknown,HD_100452597_01.jpg
Jacket,Grey,Unknown,HD_100453860_01.jpg
Strapless dress,Black,ASOS,HD_100453881_01.jpg
Smart jacket / coat,Brown,Unknown,HD_100462918_01.jpg
Smart jacket / coat,Red,Unknown,HD_100463822_01.jpg
Casual jacket / coat,Purple,Unknown,HD_100497065_01.jpg
Casual jacket / coat,Beige,Unknown,HD_100506878_01.jpg
Mini dress,Black,Unknown,HD_100506981_01.jpg
Jacket,Grey,Unknown,HD_100507752_01.jpg
Jacket,Black,Next,HD_100515248_01.jpg
Full length dress,Black,Unknown,HD_100519241_01.jpg
Sleeveless top,Pink,Next,HD_100537597_01.jpg
Mini dress,Purple,Oasis,HD_100541079_01.jpg
Jacket,Grey,Unknown,HD_100544009_01.jpg
Trousers,Brown,Lakeland,HD_100552383_01.jpg
T-Shirt,Black,Unknown,HD_100570399_01.jpg
Casual jacket / coat,Cream,St Michael,HD_100573773_01.jpg
Jacket,Grey,Autograph,HD_100573857_01.jpg
Trousers,Grey,Unknown,HD_100575150_01.jpg
Smart jacket / coat,Blue,Unknown,HD_100575643_01.jpg
Casual jacket / coat,Beige,Unknown,HD_100577697_01.jpg
Jacket,Grey,Unknown,HD_100585054_01.jpg
Mini dress,Grey,Watters & Watters,HD_100586817_01.jpg
Trousers,Beige,Principles,HD_100587012_01.jpg
Trousers,Black,Fenn Wright Manson,HD_100588242_01.jpg
Blazer,Blue,River Island,HD_100598919_01.jpg
Cropped trousers,Blue,F&F,HD_100599237_01.jpg
Jacket,Black,Unknown,HD_100606060_01.jpg
Blouse,Brown,Gap,HD_100607633_01.jpg
Smart jacket / coat,Black,George,HD_100613307_01.jpg
Jacket,Grey,Unknown,HD_100621638_01.jpg
Short,Black,Jane Norman,HD_100622015_01.jpg
Short,Black,Unknown,HD_100622055_01.jpg
Jacket,Black,Atmosphere,HD_100624960_01.jpg
Jacket,Blue,Unknown,HD_100630832_01.jpg
Trousers,Cream,Dorothy Perkins,HD_100640519_01.jpg
Knee length dress,Black,Unknown,HD_100644377_01.jpg
Knee length dress,Black,New Look,HD_100644821_01.jpg
Mini dress,White,Unknown,HD_100648064_01.jpg
Jumpsuit,White,River Island,HD_100648142_01.jpg
Trousers,Beige,Calvin Klein,HD_100648800_01.jpg
Calf length skirt,Blue,Unknown,HD_100652297_01.jpg
Smart jacket / coat,Grey,River Island,HD_100653158_01.jpg
Sleeveless top,Grey,Unknown,HD_100656262_01.jpg
Mini dress,Black,Unknown,HD_100656306_01.jpg
Knee length dress,Black,River Island,HD_100660273_01.jpg
Mini dress,Black,Unknown,HD_100660286_01.jpg
Evening dress,Grey,Miss Selfridge,HD_100660306_01.jpg
Jeans,Blue,Unknown,HD_100660347_01.jpg
Skirt,Black,Unknown,HD_100663637_01.jpg
Knee length dress,Black,Debut,HD_100665027_01.jpg
Strapless dress,Black,Unknown,HD_100669697_01.jpg
Strapless dress,Black,Topshop,HD_100677830_01.jpg
Casual jacket / coat,Brown,Unknown,HD_100679584_01.jpg
Jeans,Blue,Unknown,HD_100683836_01.jpg
Sleeveless top,Pink,Unknown,HD_100684486_01.jpg
Pencil skirt,Black,Mango,HD_100687261_01.jpg
Sleeveless,Brown,Unknown,HD_100688324_01.jpg
Sleeveless,Black,Unknown,HD_100690896_01.jpg
T-Shirt,Black,Windsmoor,HD_100691036_01.jpg
Trousers,White,Unknown,HD_100691059_01.jpg
Smart jacket / coat,Grey,Unknown,HD_100692265_01.jpg
Casual jacket / coat,Pink,Unknown,HD_100694834_01.jpg
Trousers,Purple,Principles,HD_100697332_01.jpg
Jeans,White,Karen Millen,HD_100703282_01.jpg
Smart jacket / coat,Black,Unknown,HD_100704660_01.jpg
Jacket,Black,Unknown,HD_100704751_01.jpg
Blouse,Black,Unknown,HD_100708619_01.jpg
Mini dress,Red,Unknown,HD_100713627_01.jpg
Smart jacket / coat,Black,Unknown,HD_100726840_01.jpg
Jacket,Grey,Austin Reed,HD_100726912_01.jpg
Short,Black,Oasis,HD_100732964_01.jpg
Trousers,Black,Next,HD_100740594_01.jpg
Jacket,Grey,Unknown,HD_100743291_01.jpg
Strapless dress,Metallics,Great Plains,HD_100745134_01.jpg
Casual jacket / coat,Brown,Unknown,HD_100749104_01.jpg
Jacket,Grey,Planet,HD_100766734_01.jpg
Sleeveless top,Brown,Unknown,HD_100770014_01.jpg
Knee length dress,Red,Unknown,HD_100778479_01.jpg
Casual jacket / coat,Purple,Unknown,HD_100784546_01.jpg
Mini dress,Purple,Unknown,HD_100786337_01.jpg
Mini dress,Purple,Unknown,HD_100786356_01.jpg
Jacket,Grey,Next,HD_100790842_01.jpg
Mini dress,Black,Miss Selfridge,HD_100792996_01.jpg
Jacket,Brown,Jaeger,HD_100793416_01.jpg
Sleeveless,Grey,Great Plains,HD_100794496_01.jpg
T-Shirt,White,Unknown,HD_100797202_01.jpg
Smart jacket / coat,Grey,Unknown,HD_100797434_01.jpg
Mini dress,Pink,Unknown,HD_100797498_01.jpg
Cocktail dress,Black,Unknown,HD_100799921_01.jpg
Trousers,Black,Unknown,HD_100802091_01.jpg
Casual jacket / coat,Beige,Unknown,HD_100802911_01.jpg
Strapless dress,Pink,Unknown,HD_100804472_01.jpg
Jacket,Cream,Next,HD_100805551_01.jpg
T-Shirt,Grey,Unknown,HD_100807107_01.jpg
Smart jacket / coat,Black,Jaeger,HD_100810460_01.jpg
Sleeveless,Black,Unknown,HD_100810768_01.jpg
Long dress,Blue,Unknown,HD_100816417_01.jpg
Evening dress,Black,Unknown,HD_100818499_01.jpg
Trousers,Blue,Unknown,HD_100819503_01.jpg
Calf length dress,Black,Unknown,HD_100819921_01.jpg
Short,Cream,Unknown,HD_100820385_01.jpg
Mini dress,Black,Unknown,HD_100820496_01.jpg
Long skirt,Pink,Unknown,HD_100824024_01.jpg
Smart jacket / coat,Black,Unknown,HD_100828855_01.jpg
Smart jacket / coat,Grey,BHS,HD_100831002_01.jpg
Knee length dress,Black,Unknown,HD_100835697_01.jpg
Sleeveless top,Black,Unknown,HD_100842670_01.jpg
Mini dress,Purple,Topshop,HD_100847483_01.jpg
Jacket,Grey,Charles Tyrwhitt,HD_100847530_01.jpg
Casual jacket / coat,Brown,Unknown,HD_100850114_01.jpg
Cocktail dress,Black,Unknown,HD_100852387_01.jpg
Jeans,Black,Gap,HD_100852963_01.jpg
Short,Black,Unknown,HD_100854701_01.jpg
Knee length dress,Red,Unknown,HD_100854771_01.jpg
Trousers,Grey,Betty Barclay,HD_100856585_01.jpg
Full length dress,Black,Unknown,HD_100857408_01.jpg
Mini dress,Black,Unknown,HD_100857562_01.jpg
Smart jacket / coat,Grey,Unknown,HD_100858089_01.jpg
Long dress,Red,Unknown,HD_100858423_01.jpg
Short,Pink,Miss Selfridge,HD_100859876_01.jpg
Strapless dress,Pink,Unknown,HD_100861089_01.jpg
Long dress,Purple,Unknown,HD_100861292_01.jpg
Jacket,Brown,Unknown,HD_100863596_01.jpg
Knee length skirt,Black,Unknown,HD_100865509_01.jpg
Casual jacket / coat,Black,Unknown,HD_100866678_01.jpg
Mini dress,Pink,Unknown,HD_100868014_01.jpg
Jacket,Black,Unknown,HD_100868059_01.jpg
Long skirt,Brown,Hobbs,HD_100868491_01.jpg
Evening dress,Black,Austin Reed,HD_100871378_01.jpg
Smart jacket / coat,Black,Unknown,HD_100878078_01.jpg
Jacket,Black,Hugo Boss,HD_100885139_01.jpg
Casual jacket / coat,Cream,Gap,HD_100885425_01.jpg
Knee length dress,Black,Firetrap,HD_100889521_01.jpg
Trousers,Black,Guess,HD_100890809_01.jpg
Smart jacket / coat,Brown,Unknown,HD_100891574_01.jpg
Sleeveless top,Blue,Unknown,HD_100893988_01.jpg
Long skirt,Blue,Unknown,HD_100894018_01.jpg
Jumper,Black,Unknown,HD_100895554_01.jpg
Knee length dress,Black,Unknown,HD_100896857_01.jpg
Mini dress,Black,Unknown,HD_100900807_01.jpg
Jacket,Blue,Unknown,HD_100901728_01.jpg
Blouse,Beige,Dorothy Perkins,HD_100902088_01.jpg
